689 + 370 = 1059 | RTT = 38.428 ms | status = OK
207 + 895 = 1102 | RTT = 14.471 ms | status = OK
328 + 232 = 560 | RTT = 25.632 ms | status = OK
951 + 514 = 1465 | RTT = 34.824 ms | status = OK
493 + 852 = 1345 | RTT = 16.932 ms | status = OK
850 + 323 = 1173 | RTT = 15.086 ms | status = OK
66 + 854 = 920 | RTT = 48.257 ms | status = OK
16 + 434 = 450 | RTT = 22.338 ms | status = OK
179 + 426 = 605 | RTT = 36.217 ms | status = OK
932 + 222 = 1154 | RTT = 23.989 ms | status = OK
822 + 670 = 1492 | RTT = 43.700 ms | status = OK
94 + 907 = 1001 | RTT = 36.851 ms | status = OK
273 + 428 = 701 | RTT = 35.330 ms | status = OK
590 + 703 = 1293 | RTT = 53.487 ms | status = OK
785 + 651 = 1436 | RTT = 36.995 ms | status = OK
246 + 913 = 1159 | RTT = 42.450 ms | status = OK
878 + 347 = 1225 | RTT = 10.522 ms | status = OK
682 + 72 = 754 | RTT = 35.181 ms | status = OK
748 + 497 = 1245 | RTT = 36.136 ms | status = OK
544 + 910 = 1454 | RTT = 27.495 ms | status = OK
290 + 913 = 1203 | RTT = 35.918 ms | status = OK
133 + 436 = 569 | RTT = 56.233 ms | status = OK
238 + 689 = 927 | RTT = 52.874 ms | status = OK
312 + 883 = 1195 | RTT = 37.455 ms | status = OK
452 + 617 = 1069 | RTT = 57.071 ms | status = OK
604 + 264 = 868 | RTT = 35.051 ms | status = OK
410 + 415 = 825 | RTT = 27.632 ms | status = OK
851 + 794 = 1645 | RTT = 3.874 ms | status = OK
736 + 230 = 966 | RTT = 54.114 ms | status = OK
581 + 642 = 1223 | RTT = 13.038 ms | status = OK
669 + 352 = 1021 | RTT = 36.629 ms | status = OK
197 + 918 = 1115 | RTT = 36.273 ms | status = OK
853 + 614 = 1467 | RTT = 36.390 ms | status = OK
574 + 164 = 738 | RTT = 48.709 ms | status = OK
569 + 160 = 729 | RTT = 36.085 ms | status = OK
426 + 723 = 1149 | RTT = 35.323 ms | status = OK
377 + 104 = 481 | RTT = 35.863 ms | status = OK
182 + 843 = 1025 | RTT = 63.808 ms | status = OK
984 + 187 = 1171 | RTT = 34.843 ms | status = OK
175 + 684 = 859 | RTT = 34.159 ms | status = OK
804 + 852 = 1656 | RTT = 52.197 ms | status = OK
418 + 578 = 996 | RTT = 34.216 ms | status = OK
151 + 621 = 772 | RTT = 33.627 ms | status = OK
912 + 825 = 1737 | RTT = 40.657 ms | status = OK
618 + 888 = 1506 | RTT = 47.032 ms | status = OK
374 + 891 = 1265 | RTT = 65.669 ms | status = OK
264 + 416 = 680 | RTT = 33.934 ms | status = OK
139 + 915 = 1054 | RTT = 37.920 ms | status = OK
399 + 854 = 1253 | RTT = 31.187 ms | status = OK
694 + 7 = 701 | RTT = 31.172 ms | status = OK
541 + 974 = 1515 | RTT = 31.353 ms | status = OK
19 + 248 = 267 | RTT = 76.919 ms | status = OK
362 + 72 = 434 | RTT = 31.444 ms | status = OK
44 + 709 = 753 | RTT = 30.357 ms | status = OK
87 + 633 = 720 | RTT = 39.467 ms | status = OK
893 + 334 = 1227 | RTT = 48.338 ms | status = OK
455 + 437 = 892 | RTT = 30.877 ms | status = OK
134 + 887 = 1021 | RTT = 82.341 ms | status = OK
81 + 846 = 927 | RTT = 28.885 ms | status = OK
456 + 486 = 942 | RTT = 27.732 ms | status = OK
682 + 974 = 1656 | RTT = 47.289 ms | status = OK
448 + 260 = 708 | RTT = 25.847 ms | status = OK
467 + 874 = 1341 | RTT = 25.284 ms | status = OK
47 + 899 = 946 | RTT = 41.691 ms | status = OK
87 + 395 = 482 | RTT = 40.438 ms | status = OK
621 + 677 = 1298 | RTT = 24.016 ms | status = OK
978 + 817 = 1795 | RTT = 25.126 ms | status = OK
404 + 67 = 471 | RTT = 23.152 ms | status = OK
544 + 158 = 702 | RTT = 35.376 ms | status = OK
68 + 585 = 653 | RTT = 21.850 ms | status = OK
799 + 223 = 1022 | RTT = 23.282 ms | status = OK
805 + 385 = 1190 | RTT = 21.863 ms | status = OK
795 + 751 = 1546 | RTT = 21.093 ms | status = OK
602 + 450 = 1052 | RTT = 35.863 ms | status = OK
122 + 567 = 689 | RTT = 21.177 ms | status = OK
450 + 902 = 1352 | RTT = 20.880 ms | status = OK
44 + 435 = 479 | RTT = 42.561 ms | status = OK
40 + 166 = 206 | RTT = 21.002 ms | status = OK
813 + 155 = 968 | RTT = 20.206 ms | status = OK
280 + 318 = 598 | RTT = 31.905 ms | status = OK
566 + 178 = 744 | RTT = 32.988 ms | status = OK
87 + 603 = 690 | RTT = 41.310 ms | status = OK
3 + 429 = 432 | RTT = 20.409 ms | status = OK
909 + 370 = 1279 | RTT = 32.215 ms | status = OK
968 + 333 = 1301 | RTT = 30.229 ms | status = OK
86 + 929 = 1015 | RTT = 44.221 ms | status = OK
516 + 302 = 818 | RTT = 29.258 ms | status = OK
138 + 217 = 355 | RTT = 28.978 ms | status = OK
360 + 294 = 654 | RTT = 28.175 ms | status = OK
345 + 118 = 463 | RTT = 38.643 ms | status = OK
648 + 770 = 1418 | RTT = 39.740 ms | status = OK
747 + 404 = 1151 | RTT = 26.064 ms | status = OK
74 + 874 = 948 | RTT = 27.310 ms | status = OK
454 + 930 = 1384 | RTT = 25.444 ms | status = OK
45 + 989 = 1034 | RTT = 47.675 ms | status = OK
721 + 610 = 1331 | RTT = 36.730 ms | status = OK
696 + 817 = 1513 | RTT = 23.447 ms | status = OK
499 + 72 = 571 | RTT = 24.433 ms | status = OK
494 + 474 = 968 | RTT = 34.367 ms | status = OK
341 + 170 = 511 | RTT = 38.783 ms | status = OK

--- Estadísticas RTT ---
Cantidad total de requests: 100
Errores: 0
RTT medio (exitosos): 34.613 ms
Desvío estándar: 12.824 ms
