189 + 296 = 485 | RTT = 115.080 ms | status = OK
658 + 209 = 867 | RTT = 119.903 ms | status = OK
767 + 855 = 1622 | RTT = 118.255 ms | status = OK
580 + 273 = 853 | RTT = 111.286 ms | status = OK
199 + 930 = 1129 | RTT = 109.742 ms | status = OK
353 + 125 = 478 | RTT = 119.997 ms | status = OK
886 + 573 = 1459 | RTT = 126.514 ms | status = OK
239 + 38 = 277 | RTT = 114.387 ms | status = OK
60 + 543 = 603 | RTT = 118.394 ms | status = OK
608 + 219 = 827 | RTT = 120.694 ms | status = OK
268 + 830 = 1098 | RTT = 121.389 ms | status = OK
804 + 833 = 1637 | RTT = 125.785 ms | status = OK
951 + 751 = 1702 | RTT = 120.261 ms | status = OK
312 + 421 = 733 | RTT = 118.848 ms | status = OK
803 + 553 = 1356 | RTT = 119.302 ms | status = OK
123 + 193 = 316 | RTT = 120.280 ms | status = OK
850 + 112 = 962 | RTT = 120.598 ms | status = OK
768 + 386 = 1154 | RTT = 121.417 ms | status = OK
128 + 569 = 697 | RTT = 122.965 ms | status = OK
398 + 78 = 476 | RTT = 122.511 ms | status = OK
338 + 37 = 375 | RTT = 122.088 ms | status = OK
135 + 301 = 436 | RTT = 121.850 ms | status = OK
484 + 266 = 750 | RTT = 121.940 ms | status = OK
104 + 554 = 658 | RTT = 122.616 ms | status = OK
27 + 948 = 975 | RTT = 122.391 ms | status = OK
685 + 795 = 1480 | RTT = 122.682 ms | status = OK
63 + 932 = 995 | RTT = 124.266 ms | status = OK
490 + 937 = 1427 | RTT = 124.535 ms | status = OK
734 + 295 = 1029 | RTT = 124.622 ms | status = OK
743 + 464 = 1207 | RTT = 124.727 ms | status = OK
844 + 986 = 1830 | RTT = 125.810 ms | status = OK
238 + 548 = 786 | RTT = 126.241 ms | status = OK
799 + 223 = 1022 | RTT = 126.088 ms | status = OK
783 + 703 = 1486 | RTT = 126.288 ms | status = OK
590 + 54 = 644 | RTT = 126.218 ms | status = OK
88 + 491 = 579 | RTT = 126.537 ms | status = OK
455 + 36 = 491 | RTT = 127.319 ms | status = OK
943 + 807 = 1750 | RTT = 126.915 ms | status = OK
494 + 497 = 991 | RTT = 126.961 ms | status = OK
602 + 509 = 1111 | RTT = 126.920 ms | status = OK
152 + 411 = 563 | RTT = 126.623 ms | status = OK
325 + 139 = 464 | RTT = 127.894 ms | status = OK
623 + 172 = 795 | RTT = 126.175 ms | status = OK
435 + 925 = 1360 | RTT = 126.465 ms | status = OK
351 + 470 = 821 | RTT = 127.572 ms | status = OK
129 + 817 = 946 | RTT = 126.599 ms | status = OK
476 + 582 = 1058 | RTT = 126.993 ms | status = OK
23 + 790 = 813 | RTT = 126.718 ms | status = OK
774 + 428 = 1202 | RTT = 126.804 ms | status = OK
737 + 910 = 1647 | RTT = 127.626 ms | status = OK
722 + 574 = 1296 | RTT = 127.658 ms | status = OK
934 + 343 = 1277 | RTT = 128.167 ms | status = OK
203 + 703 = 906 | RTT = 127.526 ms | status = OK
244 + 222 = 466 | RTT = 127.615 ms | status = OK
152 + 950 = 1102 | RTT = 127.359 ms | status = OK
532 + 130 = 662 | RTT = 126.965 ms | status = OK
340 + 254 = 594 | RTT = 125.793 ms | status = OK
367 + 324 = 691 | RTT = 127.005 ms | status = OK
221 + 562 = 783 | RTT = 126.366 ms | status = OK
285 + 850 = 1135 | RTT = 125.940 ms | status = OK
734 + 951 = 1685 | RTT = 126.326 ms | status = OK
745 + 318 = 1063 | RTT = 126.079 ms | status = OK
77 + 261 = 338 | RTT = 126.022 ms | status = OK
691 + 542 = 1233 | RTT = 126.117 ms | status = OK
623 + 920 = 1543 | RTT = 125.835 ms | status = OK
102 + 906 = 1008 | RTT = 125.803 ms | status = OK
396 + 872 = 1268 | RTT = 125.535 ms | status = OK
558 + 433 = 991 | RTT = 125.319 ms | status = OK
866 + 555 = 1421 | RTT = 126.063 ms | status = OK
958 + 181 = 1139 | RTT = 126.043 ms | status = OK
287 + 503 = 790 | RTT = 125.706 ms | status = OK
823 + 83 = 906 | RTT = 125.627 ms | status = OK
42 + 33 = 75 | RTT = 128.286 ms | status = OK
838 + 620 = 1458 | RTT = 127.431 ms | status = OK
300 + 930 = 1230 | RTT = 128.524 ms | status = OK
905 + 522 = 1427 | RTT = 127.469 ms | status = OK
248 + 827 = 1075 | RTT = 126.498 ms | status = OK
317 + 687 = 1004 | RTT = 127.364 ms | status = OK
181 + 417 = 598 | RTT = 125.749 ms | status = OK
476 + 475 = 951 | RTT = 126.561 ms | status = OK
701 + 423 = 1124 | RTT = 125.859 ms | status = OK
567 + 980 = 1547 | RTT = 125.651 ms | status = OK
542 + 668 = 1210 | RTT = 125.691 ms | status = OK
630 + 75 = 705 | RTT = 125.407 ms | status = OK
49 + 977 = 1026 | RTT = 124.716 ms | status = OK
847 + 791 = 1638 | RTT = 125.460 ms | status = OK
615 + 443 = 1058 | RTT = 124.866 ms | status = OK
462 + 309 = 771 | RTT = 124.275 ms | status = OK
886 + 553 = 1439 | RTT = 125.017 ms | status = OK
475 + 842 = 1317 | RTT = 124.281 ms | status = OK
159 + 329 = 488 | RTT = 124.245 ms | status = OK
796 + 225 = 1021 | RTT = 124.114 ms | status = OK
784 + 743 = 1527 | RTT = 124.093 ms | status = OK
182 + 617 = 799 | RTT = 124.109 ms | status = OK
609 + 715 = 1324 | RTT = 123.849 ms | status = OK
915 + 623 = 1538 | RTT = 123.651 ms | status = OK
223 + 539 = 762 | RTT = 124.121 ms | status = OK
261 + 836 = 1097 | RTT = 123.348 ms | status = OK
378 + 424 = 802 | RTT = 125.125 ms | status = OK
294 + 670 = 964 | RTT = 124.531 ms | status = OK

--- Estadísticas RTT ---
Cantidad total de requests: 100
Errores: 0
RTT medio (exitosos): 124.453 ms
Desvío estándar: 3.428 ms
