742 + 721 = 1463 | RTT = 30.258 ms | status = OK
510 + 198 = 708 | RTT = 22.920 ms | status = OK
607 + 179 = 786 | RTT = 33.411 ms | status = OK
981 + 56 = 1037 | RTT = 26.245 ms | status = OK
506 + 585 = 1091 | RTT = 28.408 ms | status = OK
739 + 652 = 1391 | RTT = 27.470 ms | status = OK
300 + 772 = 1072 | RTT = 47.518 ms | status = OK
681 + 522 = 1203 | RTT = 39.489 ms | status = OK
625 + 538 = 1163 | RTT = 45.327 ms | status = OK
651 + 227 = 878 | RTT = 36.787 ms | status = OK
603 + 130 = 733 | RTT = 53.791 ms | status = OK
33 + 510 = 543 | RTT = 48.435 ms | status = OK
526 + 102 = 628 | RTT = 42.480 ms | status = OK
726 + 563 = 1289 | RTT = 60.936 ms | status = OK
36 + 626 = 662 | RTT = 41.104 ms | status = OK
425 + 819 = 1244 | RTT = 43.925 ms | status = OK
913 + 94 = 1007 | RTT = 64.227 ms | status = OK
135 + 744 = 879 | RTT = 78.119 ms | status = OK
35 + 852 = 887 | RTT = 75.149 ms | status = OK
153 + 294 = 447 | RTT = 51.481 ms | status = OK
893 + 117 = 1010 | RTT = 52.045 ms | status = OK
921 + 720 = 1641 | RTT = 69.158 ms | status = OK
61 + 306 = 367 | RTT = 86.974 ms | status = OK
957 + 102 = 1059 | RTT = 66.139 ms | status = OK
917 + 423 = 1340 | RTT = 59.157 ms | status = OK
541 + 719 = 1260 | RTT = 83.934 ms | status = OK
448 + 225 = 673 | RTT = 77.063 ms | status = OK
581 + 421 = 1002 | RTT = 94.264 ms | status = OK
260 + 492 = 752 | RTT = 81.401 ms | status = OK
249 + 926 = 1175 | RTT = 97.219 ms | status = OK
301 + 809 = 1110 | RTT = 67.858 ms | status = OK
69 + 902 = 971 | RTT = 66.538 ms | status = OK
639 + 899 = 1538 | RTT = 90.049 ms | status = OK
585 + 344 = 929 | RTT = 100.995 ms | status = OK
771 + 684 = 1455 | RTT = 102.371 ms | status = OK
823 + 484 = 1307 | RTT = 93.821 ms | status = OK
413 + 458 = 871 | RTT = 105.248 ms | status = OK
139 + 581 = 720 | RTT = 85.681 ms | status = OK
234 + 804 = 1038 | RTT = 93.901 ms | status = OK
578 + 906 = 1484 | RTT = 103.449 ms | status = OK
613 + 330 = 943 | RTT = 87.029 ms | status = OK
645 + 864 = 1509 | RTT = 100.300 ms | status = OK
192 + 174 = 366 | RTT = 93.972 ms | status = OK
52 + 240 = 292 | RTT = 123.104 ms | status = OK
673 + 291 = 964 | RTT = 99.455 ms | status = OK
657 + 466 = 1123 | RTT = 104.876 ms | status = OK
590 + 146 = 736 | RTT = 115.209 ms | status = OK
778 + 203 = 981 | RTT = 113.370 ms | status = OK
849 + 21 = 870 | RTT = 105.548 ms | status = OK
845 + 345 = 1190 | RTT = 114.196 ms | status = OK
64 + 580 = 644 | RTT = 117.108 ms | status = OK
903 + 460 = 1363 | RTT = 141.186 ms | status = OK
111 + 185 = 296 | RTT = 121.496 ms | status = OK
949 + 346 = 1295 | RTT = 118.845 ms | status = OK
607 + 74 = 681 | RTT = 150.304 ms | status = OK
891 + 855 = 1746 | RTT = 122.525 ms | status = OK
664 + 169 = 833 | RTT = 142.709 ms | status = OK
826 + 192 = 1018 | RTT = 144.934 ms | status = OK
291 + 598 = 889 | RTT = 131.143 ms | status = OK
126 + 990 = 1116 | RTT = 157.444 ms | status = OK
167 + 272 = 439 | RTT = 157.204 ms | status = OK
35 + 377 = 412 | RTT = 168.802 ms | status = OK
348 + 380 = 728 | RTT = 158.373 ms | status = OK
589 + 786 = 1375 | RTT = 169.746 ms | status = OK
809 + 666 = 1475 | RTT = 150.720 ms | status = OK
53 + 632 = 685 | RTT = 147.406 ms | status = OK
276 + 37 = 313 | RTT = 164.366 ms | status = OK
263 + 710 = 973 | RTT = 165.277 ms | status = OK
697 + 326 = 1023 | RTT = 157.373 ms | status = OK
585 + 213 = 798 | RTT = 184.895 ms | status = OK
941 + 418 = 1359 | RTT = 182.649 ms | status = OK
681 + 433 = 1114 | RTT = 154.437 ms | status = OK
944 + 417 = 1361 | RTT = 153.592 ms | status = OK
763 + 779 = 1542 | RTT = 171.280 ms | status = OK
85 + 800 = 885 | RTT = 187.386 ms | status = OK
612 + 182 = 794 | RTT = 202.151 ms | status = OK
491 + 654 = 1145 | RTT = 179.462 ms | status = OK
222 + 363 = 585 | RTT = 176.612 ms | status = OK
330 + 488 = 818 | RTT = 185.598 ms | status = OK
738 + 428 = 1166 | RTT = 194.639 ms | status = OK
36 + 613 = 649 | RTT = 182.992 ms | status = OK
417 + 350 = 767 | RTT = 184.328 ms | status = OK
654 + 75 = 729 | RTT = 188.185 ms | status = OK
949 + 892 = 1841 | RTT = 196.818 ms | status = OK
646 + 181 = 827 | RTT = 204.788 ms | status = OK
576 + 470 = 1046 | RTT = 203.738 ms | status = OK
460 + 242 = 702 | RTT = 200.966 ms | status = OK
950 + 28 = 978 | RTT = 205.779 ms | status = OK
277 + 938 = 1215 | RTT = 202.215 ms | status = OK
882 + 985 = 1867 | RTT = 214.923 ms | status = OK
280 + 498 = 778 | RTT = 194.941 ms | status = OK
200 + 455 = 655 | RTT = 196.026 ms | status = OK
843 + 300 = 1143 | RTT = 200.415 ms | status = OK
26 + 777 = 803 | RTT = 214.545 ms | status = OK
203 + 199 = 402 | RTT = 217.024 ms | status = OK
512 + 747 = 1259 | RTT = 216.353 ms | status = OK
947 + 163 = 1110 | RTT = 219.079 ms | status = OK
782 + 723 = 1505 | RTT = 232.034 ms | status = OK
594 + 823 = 1417 | RTT = 229.741 ms | status = OK
365 + 587 = 952 | RTT = 239.394 ms | status = OK

--- Estadísticas RTT ---
Cantidad total de requests: 100
Errores: 0
RTT medio (exitosos): 125.358 ms
Desvío estándar: 60.740 ms
