693 + 720 = ERROR | RTT = 26.636 ms | status = INTERNAL
281 + 415 = 696 | RTT = 28.991 ms | status = OK
719 + 158 = 877 | RTT = 56.170 ms | status = OK
918 + 34 = ERROR | RTT = 21.324 ms | status = INTERNAL
11 + 594 = 605 | RTT = 38.274 ms | status = OK
5 + 196 = ERROR | RTT = 23.319 ms | status = INTERNAL
56 + 933 = ERROR | RTT = 31.309 ms | status = INTERNAL
22 + 140 = ERROR | RTT = 22.456 ms | status = INTERNAL
845 + 330 = ERROR | RTT = 18.749 ms | status = INTERNAL
824 + 171 = ERROR | RTT = 25.211 ms | status = INTERNAL
818 + 894 = ERROR | RTT = 20.712 ms | status = INTERNAL
585 + 822 = ERROR | RTT = 19.882 ms | status = INTERNAL
495 + 693 = 1188 | RTT = 45.683 ms | status = OK
405 + 211 = 616 | RTT = 49.610 ms | status = OK
439 + 4 = ERROR | RTT = 33.017 ms | status = INTERNAL
511 + 758 = ERROR | RTT = 25.171 ms | status = INTERNAL
916 + 273 = 1189 | RTT = 26.306 ms | status = OK
586 + 863 = ERROR | RTT = 21.006 ms | status = INTERNAL
12 + 761 = ERROR | RTT = 21.376 ms | status = INTERNAL
464 + 224 = ERROR | RTT = 20.721 ms | status = INTERNAL
226 + 954 = ERROR | RTT = 19.327 ms | status = INTERNAL
967 + 878 = 1845 | RTT = 52.002 ms | status = OK
374 + 505 = 879 | RTT = 56.074 ms | status = OK
92 + 660 = 752 | RTT = 35.709 ms | status = OK
393 + 104 = 497 | RTT = 28.110 ms | status = OK
821 + 750 = ERROR | RTT = 16.919 ms | status = INTERNAL
499 + 268 = ERROR | RTT = 24.340 ms | status = INTERNAL
215 + 459 = 674 | RTT = 56.183 ms | status = OK
195 + 361 = ERROR | RTT = 23.964 ms | status = INTERNAL
205 + 602 = ERROR | RTT = 21.522 ms | status = INTERNAL
445 + 921 = ERROR | RTT = 18.412 ms | status = INTERNAL
980 + 104 = ERROR | RTT = 30.724 ms | status = INTERNAL
98 + 561 = ERROR | RTT = 18.795 ms | status = INTERNAL
479 + 412 = 891 | RTT = 28.868 ms | status = OK
879 + 995 = 1874 | RTT = 78.248 ms | status = OK
988 + 440 = ERROR | RTT = 20.562 ms | status = INTERNAL
217 + 243 = ERROR | RTT = 24.993 ms | status = INTERNAL
23 + 628 = ERROR | RTT = 23.098 ms | status = INTERNAL
974 + 315 = ERROR | RTT = 27.852 ms | status = INTERNAL
283 + 723 = 1006 | RTT = 38.389 ms | status = OK
426 + 425 = 851 | RTT = 69.357 ms | status = OK
535 + 88 = 623 | RTT = 50.660 ms | status = OK
340 + 871 = 1211 | RTT = 64.856 ms | status = OK
178 + 653 = 831 | RTT = 58.494 ms | status = OK
690 + 949 = 1639 | RTT = 50.870 ms | status = OK
668 + 205 = 873 | RTT = 81.632 ms | status = OK
32 + 558 = 590 | RTT = 58.295 ms | status = OK
729 + 787 = 1516 | RTT = 66.173 ms | status = OK
70 + 657 = 727 | RTT = 85.219 ms | status = OK
654 + 651 = 1305 | RTT = 86.396 ms | status = OK
136 + 117 = 253 | RTT = 68.744 ms | status = OK
816 + 952 = 1768 | RTT = 64.256 ms | status = OK
398 + 209 = 607 | RTT = 67.237 ms | status = OK
55 + 388 = 443 | RTT = 79.797 ms | status = OK
628 + 151 = 779 | RTT = 72.158 ms | status = OK
708 + 344 = 1052 | RTT = 113.631 ms | status = OK
515 + 506 = 1021 | RTT = 82.761 ms | status = OK
440 + 193 = 633 | RTT = 78.441 ms | status = OK
606 + 15 = 621 | RTT = 98.178 ms | status = OK
438 + 907 = 1345 | RTT = 89.645 ms | status = OK
118 + 272 = 390 | RTT = 128.298 ms | status = OK
646 + 414 = 1060 | RTT = 105.911 ms | status = OK
777 + 539 = 1316 | RTT = 97.858 ms | status = OK
622 + 690 = 1312 | RTT = 133.527 ms | status = OK
702 + 268 = 970 | RTT = 103.218 ms | status = OK
399 + 653 = 1052 | RTT = 137.137 ms | status = OK
232 + 826 = 1058 | RTT = 131.467 ms | status = OK
804 + 506 = 1310 | RTT = 110.667 ms | status = OK
741 + 19 = 760 | RTT = 150.347 ms | status = OK
289 + 27 = 316 | RTT = 147.713 ms | status = OK
273 + 101 = 374 | RTT = 124.745 ms | status = OK
437 + 827 = 1264 | RTT = 140.578 ms | status = OK
222 + 735 = 957 | RTT = 142.226 ms | status = OK
965 + 684 = 1649 | RTT = 178.619 ms | status = OK
871 + 895 = 1766 | RTT = 175.142 ms | status = OK
586 + 545 = 1131 | RTT = 151.825 ms | status = OK
806 + 3 = 809 | RTT = 129.796 ms | status = OK
721 + 726 = 1447 | RTT = 178.940 ms | status = OK
69 + 134 = 203 | RTT = 170.514 ms | status = OK
487 + 526 = 1013 | RTT = 176.141 ms | status = OK
733 + 503 = 1236 | RTT = 194.626 ms | status = OK
476 + 949 = 1425 | RTT = 160.202 ms | status = OK
53 + 380 = 433 | RTT = 168.098 ms | status = OK
464 + 115 = 579 | RTT = 146.431 ms | status = OK
107 + 860 = 967 | RTT = 151.224 ms | status = OK
640 + 325 = 965 | RTT = 157.939 ms | status = OK
553 + 489 = 1042 | RTT = 160.116 ms | status = OK
990 + 13 = 1003 | RTT = 149.915 ms | status = OK
404 + 620 = 1024 | RTT = 187.715 ms | status = OK
267 + 548 = 815 | RTT = 179.189 ms | status = OK
770 + 700 = 1470 | RTT = 189.473 ms | status = OK
